모델명,제조사,유종,배기량,변속형식,A,등급,B,자동차유형
토요타 Prius 2WD,토요타,휘발유,1798,무단변속,22.4,1등급,68,일반형
아이오닉 1.6GDI 하이브리드 6DCT_15''타이어,현대,휘발유,1580,자동6,22.4,1등급,69,일반형
아반떼 1.6GDI 하이브리드 (16“타이어),현대,휘발유,1580,자동6,21.1,1등급,74,일반형
토요타 Prius AWD,토요타,휘발유,1798,무단변속,20.9,1등급,74,일반형
아이오닉 1.6GDI 하이브리드 6DCT_17''타이어,현대,휘발유,1580,자동6,20.2,1등급,78,일반형
K5(DL3) 2.0GDI 하이브리드_16인치타이어,기아,휘발유,1999,자동6,20.1,1등급,79,일반형
쏘나타(DN8) 2.0GDI 하이브리드_16인치타이어,현대,휘발유,1999,자동6,20.1,1등급,79,일반형
쏘나타(DN8) 2.0GDI 하이브리드_16인치(빌트인캠),현대,휘발유,1999,자동6,19.8,1등급,80,일반형
K5(DL3) 2.0GDI 하이브리드_16인치(빌트인캠),기아,휘발유,1999,자동6,19.7,1등급,81,일반형
아반떼 1.6GDI 하이브리드 (17“타이어),현대,휘발유,1580,자동6,19.5,1등급,81,일반형
니로 1.6GDI 하이브리드_16''타이어 (15),기아,휘발유,1580,자동6,19.5,1등급,79,기타형
"코나 1.6GDI 하이브리드 (16"" 타이어)",현대,휘발유,1580,자동6,19.3,1등급,82,다목적형
K5(DL3) 2.0GDI 하이브리드_17인치타이어,기아,휘발유,1999,자동6,19.1,1등급,83,일반형
쏘나타(DN8) 2.0GDI 하이브리드_17인치타이어,현대,휘발유,1999,자동6,19.1,1등급,83,일반형
ACCORD HYBRID,혼다,휘발유,1993,무단변속,18.9,1등급,82,일반형
ACCORD HYBRID,혼다,휘발유,1993,무단변속,18.9,1등급,82,일반형
K5(DL3) 2.0GDI 하이브리드_17인치(빌트인캠),기아,휘발유,1999,자동6,18.8,1등급,85,일반형
쏘나타(DN8) 2.0GDI 하이브리드_17인치(빌트인캠),현대,휘발유,1999,자동6,18.8,1등급,85,일반형
토요타 Prius C,토요타,휘발유,1497,무단변속,18.6,1등급,84,일반형
K5(DL3) 2.0GDI 하이브리드_18인치타이어,기아,휘발유,1999,자동6,18,1등급,88,일반형
쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어,현대,휘발유,1999,자동6,18,1등급,88,일반형
K5 2.0GDI 하이브리드 개조차_16인치타이어,기아,휘발유,1999,자동6,18,1등급,89,일반형
K5(DL3) 2.0GDI 하이브리드_18인치(빌트인캠),기아,휘발유,1999,자동6,17.6,1등급,91,일반형
쏘나타(DN8) 2.0GDI 하이브리드_18인치(빌트인캠),현대,휘발유,1999,자동6,17.6,1등급,91,일반형
토요타 Camry Hybrid LE,토요타,휘발유,2487,무단변속,17.5,1등급,92,일반형
"코나 1.6GDI 하이브리드 (18"" 타이어)",현대,휘발유,1580,자동6,17.4,1등급,92,다목적형
렉서스 ES300h,토요타,휘발유,2487,무단변속,17.2,1등급,91,일반형
K5 2.0GDI 하이브리드 개조차_17인치타이어,기아,휘발유,1999,자동6,17.2,1등급,94,일반형
말리부 1.8 HYBRID,한국지엠,휘발유,1796,무단변속,17.1,1등급,95,일반형
니로 1.6GDI 하이브리드_18''타이어 (15),기아,휘발유,1580,자동6,17.1,1등급,92,기타형
렉서스 ES300h,토요타,휘발유,2487,무단변속,17,1등급,93,일반형
렉서스 CT200h,토요타,휘발유,1798,무단변속,17,1등급,93,일반형
렉서스 UX250h 2WD,토요타,휘발유,1987,무단변속,16.7,1등급,95,다목적형
토요타 Camry Hybrid,토요타,휘발유,2487,무단변속,16.7,1등급,95,일반형
토요타 Avalon Hybrid,토요타,휘발유,2487,무단변속,16.6,1등급,96,일반형
Lincoln MKZ Hybrid,포드,휘발유,1999,무단변속,16.3,1등급,97,일반형
투싼 1.6T-GDI 하이브리드 6AT,현대,휘발유,1598,자동6,16.2,1등급,99,다목적형
"K7 2.4하이브리드 (PE/17""타이어)",기아,휘발유,2359,자동6,16.2,1등급,97,일반형
그랜저 2.4 하이브리드 (15),현대,휘발유,2359,자동6,16.2,1등급,97,일반형
"K7 2.4하이브리드 (17""타이어) (15)",기아,휘발유,2359,자동6,16.2,1등급,97,일반형
모닝(JA) 1.0가솔린_밴형 (15),기아,휘발유,998,수동5,16,경형,101,일반형
모닝(JA) 1.0가솔린 (15),기아,휘발유,998,수동5,16,경형,101,일반형
"그랜저(IG개조)2.4 하이브리드_17""타이어(빌트인캠)",현대,휘발유,2359,자동6,15.9,2등급,103,일반형
렉서스 UX250h AWD,토요타,휘발유,1987,무단변속,15.9,2등급,100,다목적형
토요타 RAV4 Hybrid 2WD,토요타,휘발유,2487,무단변속,15.9,2등급,101,다목적형
투싼 1.6T-GDI 하이브리드 6AT (빌트인캠),현대,휘발유,1598,자동6,15.8,2등급,102,다목적형
Lincoln MKZ Hybrid,포드,휘발유,1999,무단변속,15.8,2등급,103,일반형
토요타 RAV4 Hybrid 2WD,토요타,휘발유,2487,무단변속,15.7,2등급,101,다목적형
모닝(JA PE)_1.0가솔린_14인치타이어_밴형,기아,휘발유,998,자동4,15.7,경형,104,일반형
모닝(JA PE)_1.0가솔린_14인치타이어,기아,휘발유,998,자동4,15.7,경형,104,일반형
토요타 RAV4 Hybrid AWD,토요타,휘발유,2487,무단변속,15.7,2등급,101,다목적형
토요타 RAV4 Hybrid AWD,토요타,휘발유,2487,무단변속,15.5,2등급,102,다목적형
아반떼 1.6 가솔린 15인치 타이어,현대,휘발유,1598,무단변속,15.4,2등급,106,일반형
모닝(JA) 1.0가솔린_밴형 (15),기아,휘발유,998,자동4,15.4,경형,106,일반형
모닝(JA) 1.0가솔린 (15),기아,휘발유,998,자동4,15.4,경형,106,일반형
쏘렌토 1.6T-GDI 하이브리드 2WD 5인 17인치타이어,기아,휘발유,1598,자동6,15.3,2등급,106,다목적형
